Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:016ce42cc3b8a5a03469f01c668a5058d1c31785a1fc16a3a22162925df069a0	amd64	Windows	"Windows Server, version 1909"	3.1.6	src/aspnet/3.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-17 14.17.46.00
sha256:017099202073a6e704b31a0de8240a77fb04a18cc4f1b455bfef1b66a3ceffdb	amd64	Linux	Ubuntu 20.04	2.1.20	src/aspnet/2.1/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-23 20.10.30.00
sha256:0173c18db1d8fb0640e69853665088310692926e951b03af3391f1c9f8568711	arm32	Linux	Debian 9	2.1.20	src/runtime/2.1/stretch-slim/arm32v7/Dockerfile	dotnet/core-nightly/runtime	2020-07-23 20.10.17.00
sha256:0179df0748e80a4734d26b84d28c1fe179baee5bd994039cf97d84d1553485e6	amd64	Windows	"Windows Server, version 1909"	3.1.401	src/sdk/3.1/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-08-18 20.54.45.00
sha256:017bc36e5088f4d29327a85fc8f34600fc64bae0e99acef0fc07434b2639748b	arm64	Linux	Ubuntu 20.04	6.0.100-alpha.1	src/sdk/6.0/focal/arm64v8/Dockerfile	dotnet/nightly/sdk	2021-01-21 12.13.31.00
sha256:017f18cb4f15324c1f9e26f3ca5c3a5b61728639230c8174ba1c2f533e7c0b4b	arm64	Linux	Ubuntu 20.04	3.1.301	src/sdk/3.1/focal/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-06-19 13.53.12.00
sha256:0181e7281a7d47cd1299202210799e37ac73fe94c8c192fa469c44671d976f84	arm64	Linux	Debian 10	3.1.4	3.1/aspnet/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-06-09 04.10.04.00
sha256:01863955af3abc333eae422bd82293e967dfc5b5674a564d162f8bf0bb43aeff	amd64	Windows	"Windows Server, version 2004"	2.1.19	2.1/runtime/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-12 14.03.24.00
sha256:0187dbeabc17d9a53e2d455418316ccba72a6130247f5916eadc1f0b22b46998	amd64	Windows	"Windows Server, version 2009"	3.1.404	src/sdk/3.1/nanoserver-2009/amd64/Dockerfile	dotnet/nightly/sdk	2020-11-10 18.23.21.00
sha256:0187dbeabc17d9a53e2d455418316ccba72a6130247f5916eadc1f0b22b46998	amd64	Windows	"Windows Server, version 2009"	3.1.404	src/sdk/3.1/nanoserver-2009/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-11-10 18.23.21.00
sha256:018ccf004fb961319cc2ab30cd35dc84c5b6dfcd5cb1ee8e65fef8e1114f5e4e	amd64	Linux	Alpine 3.10	2.1.17	2.1/runtime/alpine3.10/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-04-28 17.58.14.00
sha256:018ee0435b52676b488fe3f1dd954fe15a56643bc61d686fb11624ad4f863eba	arm64	Linux	Alpine 3.12	5.0.0-preview.6	src/aspnet/5.0/alpine3.12/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-06-22 16.08.30.00
sha256:01900130d3884a4d7a817db922a71cd3102e80f65d07c519132efe9e266f936a	amd64	Linux	Alpine 3.12	5.0.0-preview.7	src/aspnet/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/aspnet	2020-08-04 12.43.59.00
sha256:0190c83215e3b8f99d49a617f45441283d1c65f029867bdcc39332b2635868bc	amd64	Linux	Ubuntu 20.04	2.1.23	src/runtime/2.1/focal/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-10-23 20.10.20.00
sha256:01971d47b69f788a51c01ce611520894782439ed4513c46a148312e0eadef777	amd64	Linux	Ubuntu 20.04	3.1.3	3.1/runtime-deps/focal/amd64/Dockerfile	dotnet/core-nightly/runtime-deps	2020-05-07 00.23.59.00
sha256:0197f6eda7a5095555c2e90d86794db44c56bbfd9bf503a851d4af9e63869f09	amd64	Windows	"Windows Server, version 1909"	2.1.17	2.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-08 23.07.46.00
sha256:019c068f9a4148f63a8c61de414e72e555a863859cc152b15b207d625829ed31	amd64	Windows	"Windows Server, version 1903"	3.1.5	3.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-09 19.21.23.00
sha256:019e95034c1f3669a49bc4d886305b411f6d46a4a84a892466d7a470c4fb18c4	amd64	Windows	"Windows Server, version 1903"	5.0.100-rc.2	src/sdk/5.0/nanoserver-1903/amd64/Dockerfile	dotnet/nightly/sdk	2020-09-21 16.38.38.00
sha256:01a18e627fe69f6b156cb350e91c1fa71654c3e632c731b8d905d12c3b100d7d	amd64	Linux	Alpine 3.12	3.1.5	3.1/runtime/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-11 00.07.39.00
sha256:01a57417f8bea9e7704402dea291eedaf74da9046d2a0ff5f38a80248707f051	arm64	Linux	Ubuntu 18.04	3.1.5	src/runtime/3.1/bionic/arm64v8/Dockerfile	dotnet/core-nightly/runtime	2020-06-23 21.25.37.00
sha256:01a622d86f471c45cb488fcddfeb8d5b5fe75999a8ca7592d9bc8a617ebe6b64	amd64	Windows	"Windows Server, version 1903"	2.1.18	2.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-03 21.27.27.00
sha256:01a82535266bbb0556eea4f851e5111001ec59ad218335b20d03b267eab8b0c3	amd64	Windows	Windows Server 2019	5.0.0-preview.6	src/runtime/5.0/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/runtime	2020-06-19 13.53.01.00
sha256:01aa304b7337770b4eea0c4ce15badb102bc476366a465521a3c7d30f31bfa15	amd64	Linux	Ubuntu 20.04	3.1.302	src/sdk/3.1/focal/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-08-03 16.06.35.00
sha256:01ac50fafc9c3f83c22e9af07bf6ad6e49945944c5a862fc799f626f0a2699ea	amd64	Windows	"Windows Server, version 1909"	5.0.100-preview.4	5.0/sdk/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-04-28 20.08.20.00
sha256:01aff0ba5977030f92441ec16c30d2e085bca7a664e5e64dfb94065e618aba61	amd64	Windows	Windows Server 2019	3.1.6	src/aspnet/3.1/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-08-05 14.22.37.00
sha256:01b08583493c10ceba2d2970cb96f0c44f0fee069bcebb4e6bd441323f7c7298	amd64	Linux	Ubuntu 20.04	5.0.0-preview.7	src/runtime/5.0/focal/amd64/Dockerfile	dotnet/nightly/runtime	2020-06-30 14.03.17.00
sha256:01b866d120a08779b21e12187cf8c5f4054d8fb3db4bc18d52ebf4b11893bd84	amd64	Windows	Windows Server 2019	5.0.100	src/sdk/5.0/windowsservercore-ltsc2019/amd64/Dockerfile	dotnet/nightly/sdk	2020-10-27 13.59.03.00
sha256:01b866d120a08779b21e12187cf8c5f4054d8fb3db4bc18d52ebf4b11893bd84	amd64	Windows	Windows Server 2019	5.0.100	src/sdk/5.0/windowsservercore-ltsc2019/amd64/Dockerfile	dotnet/nightly/sdk	2020-10-27 13.59.03.00
sha256:01b98db6ac291f0700f159bec052d9fd5b539f61de5be0c657b1b8c3872b621b	amd64	Linux	Alpine 3.11	2.1.808	src/sdk/2.1/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-07-20 20.35.42.00
